# y+ ()       
# Time        	patch         	min           	max           	average       
6.5           	lowerWall	9.488816e-01	1.127793e+02	3.363666e+01
6.55          	rightWall	1.122819e+00	3.768704e+01	1.038480e+01
6.55          	leftWall	1.414359e+00	3.024361e+01	1.096700e+01
6.55          	lowerWall	6.919401e-01	1.115551e+02	3.344885e+01
6.6           	rightWall	1.041214e+00	3.686265e+01	9.887390e+00
6.6           	leftWall	1.344337e+00	3.101834e+01	1.121562e+01
6.6           	lowerWall	1.434230e+00	1.094404e+02	3.321572e+01
6.65          	rightWall	9.500669e-01	3.606108e+01	9.429042e+00
6.65          	leftWall	1.238295e+00	3.171849e+01	1.151252e+01
6.65          	lowerWall	1.468990e+00	1.066624e+02	3.292126e+01
6.7           	rightWall	3.361986e-01	3.523299e+01	8.995242e+00
